"","taxon","b","k","total"
"1","Calliarthron_spp",6,5,11
"2","Corynactis_californica",5,3,8
"3","Macrocystis_pyrifera",3,5,8
"4","Patiria_miniata",5,3,8
"5","Strongylocentrotus_purpuratus",6,2,8
"6","Aplidium_spp",4,3,7
"7","Didemnum_orange_crust",3,4,7
"8","Stephanocystis_osmundacea",4,3,7
"9","Balanus_nubilus",3,3,6
"10","Dictyoneurum_spp",3,3,6
"11","Sebastes_mystinus",2,4,6
"12","Balanophyllia_elegans",5,0,5
"13","Celleporella_spp",4,1,5
"14","Cucumaria_miniata",4,1,5
"15","Dermasterias_imbricata",3,2,5
"16","Dorid_yellow",5,0,5
"17","Mesocentrotus_franciscanus",3,2,5
"18","Sebastes_atrovirens",3,2,5
"19","Clavelina_huntsmani",3,1,4
"20","Eudistylia_spp",3,1,4
"21","Oxylebius_pictus",4,0,4
"22","Red_bush_sp",2,2,4
"23","Sebastes_mystinus_juv",2,2,4
"24","Tethya_californiana",3,1,4
"25","Urticina_piscivora",2,2,4
"26","Bossiella_spp",3,0,3
"27","Celleporina_robertsoniae",3,0,3
"28","Didemnum_carnulentum",3,0,3
"29","Kelletia_kelletii",2,1,3
"30","Phoca_vitulina",0,3,3
"31","Pisaster_giganteus",2,1,3
"32","Plocamium_spp",3,0,3
"33","Rhodymenia_spp",3,0,3
"34","Sebastes_flavidus_juv",1,2,3
"35","CCA",2,0,2
"36","Ceratostoma_foliatum",2,0,2
"37","Cnemidocarpa_finmarkiensis",2,0,2
"38","Fredericqia_chiton",2,0,2
"39","Pachycerianthus_fimbriatus",2,0,2
"40","Prionitis_spp",2,0,2
"41","Red_crust",2,0,2
"42","Reginella_hippocrepis",2,0,2
"43","Watersipora_subtorquata",2,0,2
"44","Anthopleura_artemisia",1,0,1
"45","Aplysia_californica",1,0,1
"46","Apostichopus_parvimensis",1,0,1
"47","Arenicolid_egg",1,0,1
"48","Botryocladia_pseudodichotoma",1,0,1
"49","Brachyistius_frenatus",1,0,1
"50","Chondracanthus_corymbiferus",1,0,1
"51","Chromis punctipinnis",0,1,1
"52","Crassodoma_gigantea",1,0,1
"53","Cryptochiton_stelleri",1,0,1
"54","Desmarestia_spp",1,0,1
"55","Diaperoforma_californica",1,0,1
"56","Diopatra_ornata",1,0,1
"57","Embiotoca_lateralis",0,1,1
"58","Myxicola_spp",1,0,1
"59","Ophiuroidea_clade",1,0,1
"60","Pycnoclavella_stanleyi",1,0,1
"61","Pyura_haustor",1,0,1
"62","Rhacochilus_vacca",0,1,1
"63","Sebastes_carnatus",1,0,1
"64","Sebastes_chrysomelas",1,0,1
"65","Semicossyphus_pulcher",0,1,1
"66","Trididemnum_spp",1,0,1
"67","Urticina_columbiana",1,0,1
