"Source","term","df","SS","MS","F","p"
"1","Behavior",1,0.62,0.62,0.66,"0.422"
"2","Forested",1,50.47,50.47,53.58,"< 0.001"
"3","Urchin",1,41.18,41.18,43.71,"< 0.001"
"4","Behavior:Forested",1,17.15,17.15,18.21,"< 0.001"
"5","Behavior:Urchin",1,1.93,1.93,2.05,"0.162"
"6","Forested:Urchin",1,0.29,0.29,0.3,"0.585"
"7","Behavior:Forested:Urchin",1,2.5,2.5,2.65,"0.113"
"8","Residuals",32,30.15,0.94,NA,"NA"
